"";"x";"predicted";"group";"facet";"stimulus"
"167";8,4;0,000100775595601068;"R";"L";"Familiar REW"
"169";8,6;1,31818030226398e-05;"NR";"L";"Familiar non-REW"
"171";8,6;9,97252937334849e-05;"R";"L";"Familiar REW"
"173";8,8;1,31153886112052e-05;"NR";"L";"Familiar non-REW"
"175";8,8;9,86665215337491e-05;"R";"L";"Familiar REW"
"177";9;1,30665011087947e-05;"NR";"L";"Familiar non-REW"
"179";9;9,7599783303113e-05;"R";"L";"Familiar REW"
"181";9,2;1,30349466093435e-05;"NR";"L";"Familiar non-REW"
"183";9,2;9,65255826182939e-05;"R";"L";"Familiar REW"
"185";9,4;1,30206002118522e-05;"NR";"L";"Familiar non-REW"
"187";9,4;9,54444219452057e-05;"R";"L";"Familiar REW"
"189";9,6;1,30234051960624e-05;"NR";"L";"Familiar non-REW"
"191";9,6;9,43568022579877e-05;"R";"L";"Familiar REW"
"193";9,8;1,30433726485511e-05;"NR";"L";"Familiar non-REW"
"195";9,8;9,32632226637145e-05;"R";"L";"Familiar REW"
"197";10;1,30805815357926e-05;"NR";"L";"Familiar non-REW"
"199";10;9,21641800331693e-05;"R";"L";"Familiar REW"
"201";10,2;1,31351792248632e-05;"NR";"L";"Familiar non-REW"
"203";10,2;9,10601686380404e-05;"R";"L";"Familiar REW"
"205";10,4;1,32073824565951e-05;"NR";"L";"Familiar non-REW"
"207";10,4;8,99516797948952e-05;"R";"L";"Familiar REW"
"209";10,6;1,32974787801827e-05;"NR";"L";"Familiar non-REW"
"211";10,6;8,88392015162677e-05;"R";"L";"Familiar REW"
"213";10,8;1,34058284625373e-05;"NR";"L";"Familiar non-REW"
"215";10,8;8,77232181691846e-05;"R";"L";"Familiar REW"
"217";11;1,35328668901495e-05;"NR";"L";"Familiar non-REW"
"219";11;8,66042101414416e-05;"R";"L";"Familiar REW"
"221";11,2;1,36791074858817e-05;"NR";"L";"Familiar non-REW"
"223";11,2;8,54826535159209e-05;"R";"L";"Familiar REW"
"225";11,4;1,38451451680575e-05;"NR";"L";"Familiar non-REW"
"227";11,4;8,43590197532377e-05;"R";"L";"Familiar REW"
"229";11,6;1,4031660384481e-05;"NR";"L";"Familiar non-REW"
"231";11,6;8,32337753829761e-05;"R";"L";"Familiar REW"
"233";11,8;1,4239423759683e-05;"NR";"L";"Familiar non-REW"
"235";11,8;8,21073817037683e-05;"R";"L";"Familiar REW"
"237";12;1,44693013998264e-05;"NR";"L";"Familiar non-REW"
"239";12;8,09802944924519e-05;"R";"L";"Familiar REW"
"241";12,2;1,47222609063789e-05;"NR";"L";"Familiar non-REW"
"243";12,2;7,9852963722525e-05;"R";"L";"Familiar REW"
"245";12,4;1,49993781569736e-05;"NR";"L";"Familiar non-REW"
"247";12,4;7,87258332921046e-05;"R";"L";"Familiar REW"
"249";12,6;1,5301844919918e-05;"NR";"L";"Familiar non-REW"
"251";12,6;7,7599340761576e-05;"R";"L";"Familiar REW"
"253";12,8;1,56309773776898e-05;"NR";"L";"Familiar non-REW"
"255";12,8;7,64739171011055e-05;"R";"L";"Familiar REW"
"257";13;1,59882256445909e-05;"NR";"L";"Familiar non-REW"
"259";13;7,53499864481753e-05;"R";"L";"Familiar REW"
"261";13,2;1,6375184374659e-05;"NR";"L";"Familiar non-REW"
"263";13,2;7,42279658752796e-05;"R";"L";"Familiar REW"
"265";13,4;1,67936045681048e-05;"NR";"L";"Familiar non-REW"
"267";13,4;7,31082651679067e-05;"R";"L";"Familiar REW"
"269";13,6;1,72454066981314e-05;"NR";"L";"Familiar non-REW"
"271";13,6;7,19912866129187e-05;"R";"L";"Familiar REW"
"273";13,8;1,77326952951907e-05;"NR";"L";"Familiar non-REW"
"275";13,8;7,08774247974199e-05;"R";"L";"Familiar REW"
"277";14;1,82577751427581e-05;"NR";"L";"Familiar non-REW"
"279";14;6,97670664181917e-05;"R";"L";"Familiar REW"
"281";14,2;1,88231692578206e-05;"NR";"L";"Familiar non-REW"
"283";14,2;6,86605901017566e-05;"R";"L";"Familiar REW"
"285";14,4;1,94316388507467e-05;"NR";"L";"Familiar non-REW"
"287";14,4;6,75583662351184e-05;"R";"L";"Familiar REW"
"289";14,6;2,00862054833733e-05;"NR";"L";"Familiar non-REW"
"291";14,6;6,6460756807208e-05;"R";"L";"Familiar REW"
"293";14,8;2,0790175671368e-05;"NR";"L";"Familiar non-REW"
"295";14,8;6,53681152610529e-05;"R";"L";"Familiar REW"
"297";15;2,15471682076269e-05;"NR";"L";"Familiar non-REW"
"299";15;6,42807863566691e-05;"R";"L";"Familiar REW"
