"";"time";"group";"type";"rate";"stimulus"
"238";7,6;"R";"N";8,68055555555556e-05;"Compl REW"
"239";7,8;"R";"N";0,000111111111111111;"Compl REW"
"240";8;"R";"N";7,29166666666667e-05;"Compl REW"
"241";8,2;"R";"N";7,29166666666667e-05;"Compl REW"
"242";8,4;"R";"N";0,000104166666666667;"Compl REW"
"243";8,6;"R";"N";0,000121527777777778;"Compl REW"
"244";8,8;"R";"N";9,375e-05;"Compl REW"
"245";9;"R";"N";7,63888888888889e-05;"Compl REW"
"246";9,2;"R";"N";8,68055555555556e-05;"Compl REW"
"247";9,4;"R";"N";7,29166666666667e-05;"Compl REW"
"248";9,6;"R";"N";9,02777777777778e-05;"Compl REW"
"249";9,8;"R";"N";9,375e-05;"Compl REW"
"250";10;"R";"N";9,78535353535353e-05;"Compl REW"
