"";"x";"predicted";"conf.low";"conf.high";"group";"facet";"stimuli"
"115";1,12;0,602346853842598;0,634462468111437;0,567409606800413;"R";"L";"Familiar REW"
"117";1,16;0,218221356023023;0,243592296575703;0,191999439704743;"NR";"L";"Familiar non-REW"
"119";1,16;0,61606983800626;0,648159631142417;0,581053277748794;"R";"L";"Familiar REW"
"121";1,2;0,226539309720602;0,252591734938867;0,199578774582389;"NR";"L";"Familiar non-REW"
"123";1,2;0,631711797338106;0,663731604511071;0,596643032650406;"R";"L";"Familiar REW"
"125";1,24;0,230944228770077;0,257349733580683;0,203599855806007;"NR";"L";"Familiar non-REW"
"127";1,24;0,63980089107764;0,671765390941552;0,604723589506191;"R";"L";"Familiar REW"
"129";1,28;0,236877011212777;0,263750631733912;0,209022484614108;"NR";"L";"Familiar non-REW"
"131";1,28;0,650486209246322;0,682354307982893;0,615420913939463;"R";"L";"Familiar REW"
"133";1,32;0,245545415369079;0,273086473501712;0,216960890778037;"NR";"L";"Familiar non-REW"
"135";1,32;0,665672896625912;0,69736048147689;0,63066749314177;"R";"L";"Familiar REW"
"137";1,36;0,25129985841198;0,279272253781591;0,222241817447593;"NR";"L";"Familiar non-REW"
"139";1,36;0,675479999144835;0,707023969339343;0,640539771401924;"R";"L";"Familiar REW"
"141";1,4;0,253239764188851;0,281355123388447;0,224024455001927;"NR";"L";"Familiar non-REW"
"143";1,4;0,678737428666714;0,71022939449232;0,643822948988044;"R";"L";"Familiar REW"
"145";1,44;0,257936860573166;0,286393645734261;0,228345292044652;"NR";"L";"Familiar non-REW"
"147";1,44;0,686524017577168;0,717882661257453;0,651679715986418;"R";"L";"Familiar REW"
"149";1,48;0,26189128400553;0,290630624303049;0,231987600124775;"NR";"L";"Familiar non-REW"
"151";1,48;0,692969995838733;0,72420794949585;0,65819383378547;"R";"L";"Familiar REW"
"153";1,52;0,265484809631171;0,294476727818091;0,235301532699192;"NR";"L";"Familiar non-REW"
"155";1,52;0,698741812600006;0,729864028712583;0,664034023151374;"R";"L";"Familiar REW"
"157";1,56;0,26789808360266;0,297057486074307;0,237529093240597;"NR";"L";"Familiar non-REW"
"159";1,56;0,702572438054012;0,733613977819324;0,667913676997906;"R";"L";"Familiar REW"
