"";"x";"predicted";"group";"facet";"stimulus"
"174";8,8;6,04734453241388e-05;"NR";"N";"Compl non-REW"
"176";8,8;8,67802883691531e-05;"R";"N";"Compl REW"
"178";9;5,92209071192613e-05;"NR";"N";"Compl non-REW"
"180";9;8,48859688583406e-05;"R";"N";"Compl REW"
"182";9,2;5,79864158038539e-05;"NR";"N";"Compl non-REW"
"184";9,2;8,29624165147673e-05;"R";"N";"Compl REW"
"186";9,4;5,67699278321148e-05;"NR";"N";"Compl non-REW"
"188";9,4;8,10135267021341e-05;"R";"N";"Compl REW"
"190";9,6;5,55713932928123e-05;"NR";"N";"Compl non-REW"
"192";9,6;7,90431688015995e-05;"R";"N";"Compl REW"
"194";9,8;5,43907560696787e-05;"NR";"N";"Compl non-REW"
"196";9,8;7,70551738240787e-05;"R";"N";"Compl REW"
"198";10;5,32279540026097e-05;"NR";"N";"Compl non-REW"
"200";10;7,50533224793497e-05;"R";"N";"Compl REW"
