"";"x";"predicted";"std.error";"conf.low";"conf.high";"group"
"1";"Dynamic non-REW";0,0493891269522711;0,216915259894154;0,0401447906656191;0,0606277431343406;"1"
"2";"Static non-REW";0,0501091685282243;0,216760041461237;0,0407419006626768;0,0614920732230522;"1"
"3";"Dynamic REW";0,394374725450161;0,210083783414868;0,34546274830612;0,445498380584023;"1"
"4";"Static REW";0,402246531443335;0,210050324036532;0,352934835351617;0,453618002137338;"1"
