"","x","predicted","std.error","conf.low","conf.high","group","stimtype"
"3","N",0.448545861453017,0.0907534306375969,0.417759773731609,0.480911112626046,"NR","Compl non-REW"
"4","N",0.524205069674948,0.0902227528904595,0.490062039014541,0.559844887745426,"R","Compl REW"
