"";"time";"group";"type";"rate";"stimulus"
"79";0,8;"R";"L";0,000132216775599129;"Familiar REW"
"80";1;"R";"L";0,000120642701525054;"Familiar REW"
"81";1,2;"R";"L";0,00017156862745098;"Familiar REW"
"82";1,4;"R";"L";0,000139161220043573;"Familiar REW"
"83";1,6;"R";"L";0,000120642701525054;"Familiar REW"
"84";1,8;"R";"L";0,000113970588235294;"Familiar REW"
"85";2;"R";"L";0,000116013071895425;"Familiar REW"
"86";2,2;"R";"L";0,000137254901960784;"Familiar REW"
"87";2,4;"R";"L";0,000121051198257081;"Familiar REW"
"88";2,6;"R";"L";0,000137118736383442;"Familiar REW"
"89";2,8;"R";"L";0,000150735294117647;"Familiar REW"
"90";3;"R";"L";0,000144335511982571;"Familiar REW"
"91";3,2;"R";"L";0,000137254901960784;"Familiar REW"
"92";3,4;"R";"L";0,000132761437908497;"Familiar REW"
"93";3,6;"R";"L";0,000160675381263617;"Familiar REW"
"94";3,8;"R";"L";0,000160675381263617;"Familiar REW"
"95";4;"R";"L";0,000144063180827887;"Familiar REW"
"96";4,2;"R";"L";0,000140250544662309;"Familiar REW"
"97";4,4;"R";"L";0,000139433551198257;"Familiar REW"
"98";4,6;"R";"L";0,000116421568627451;"Familiar REW"
"99";4,8;"R";"L";0,000141884531590414;"Familiar REW"
"100";5;"R";"L";0,0001489651416122;"Familiar REW"
"101";5,2;"R";"L";0,000125408496732026;"Familiar REW"
"102";5,4;"R";"L";0,000104438997821351;"Familiar REW"
"103";5,6;"R";"L";0,000141748366013072;"Familiar REW"
"104";5,8;"R";"L";7,43464052287582e-05;"Familiar REW"
"105";6;"R";"L";0,000111791938997821;"Familiar REW"
"106";6,2;"R";"L";0,000127450980392157;"Familiar REW"
"107";6,4;"R";"L";0,000116149237472767;"Familiar REW"
"108";6,6;"R";"L";9,76307189542484e-05;"Familiar REW"
"109";6,8;"R";"L";8,36056644880174e-05;"Familiar REW"
"110";7;"R";"L";0,000118464052287582;"Familiar REW"
"111";7,2;"R";"L";6,99891067538126e-05;"Familiar REW"
"112";7,4;"R";"L";0,000111247276688453;"Familiar REW"
"113";7,6;"R";"L";9,0822440087146e-05;"Familiar REW"
"114";7,8;"R";"L";0,000101988017429194;"Familiar REW"
"115";8;"R";"L";0,00010702614379085;"Familiar REW"
"116";8,2;"R";"L";0,000107162309368192;"Familiar REW"
"117";8,4;"R";"L";0,00011369825708061;"Familiar REW"
"118";8,6;"R";"L";0,000104438997821351;"Familiar REW"
"119";8,8;"R";"L";9,74945533769063e-05;"Familiar REW"
"120";9;"R";"L";8,85076252723312e-05;"Familiar REW"
"121";9,2;"R";"L";8,59204793028323e-05;"Familiar REW"
"122";9,4;"R";"L";9,25925925925926e-05;"Familiar REW"
"123";9,6;"R";"L";0,000104302832244009;"Familiar REW"
"124";9,8;"R";"L";0,000101988017429194;"Familiar REW"
"125";10;"R";"L";0,000113562091503268;"Familiar REW"
"126";10,2;"R";"L";6,95806100217865e-05;"Familiar REW"
"127";10,4;"R";"L";7,65250544662309e-05;"Familiar REW"
"128";10,6;"R";"L";8,57843137254902e-05;"Familiar REW"
"129";10,8;"R";"L";9,27287581699346e-05;"Familiar REW"
"130";11;"R";"L";6,74019607843137e-05;"Familiar REW"
"131";11,2;"R";"L";9,73583877995643e-05;"Familiar REW"
"132";11,4;"R";"L";5,80065359477124e-05;"Familiar REW"
"133";11,6;"R";"L";7,88398692810458e-05;"Familiar REW"
"134";11,8;"R";"L";0,000106889978213508;"Familiar REW"
"135";12;"R";"L";8,11546840958606e-05;"Familiar REW"
"136";12,2;"R";"L";9,49074074074074e-05;"Familiar REW"
"137";12,4;"R";"L";8,11546840958606e-05;"Familiar REW"
"138";12,6;"R";"L";0,000104438997821351;"Familiar REW"
"139";12,8;"R";"L";0,000104166666666667;"Familiar REW"
"140";13;"R";"L";9,04139433551198e-05;"Familiar REW"
"141";13,2;"R";"L";8,57843137254902e-05;"Familiar REW"
"142";13,4;"R";"L";7,18954248366013e-05;"Familiar REW"
"143";13,6;"R";"L";6,97167755991285e-05;"Familiar REW"
"144";13,8;"R";"L";8,7962962962963e-05;"Familiar REW"
"145";14;"R";"L";8,59204793028323e-05;"Familiar REW"
"146";14,2;"R";"L";5,09259259259259e-05;"Familiar REW"
"147";14,4;"R";"L";6,97167755991285e-05;"Familiar REW"
"148";14,6;"R";"L";6,95806100217865e-05;"Familiar REW"
"149";14,8;"R";"L";6,72657952069717e-05;"Familiar REW"
"150";15;"R";"L";5,58278867102397e-05;"Familiar REW"
