"","x","predicted","std.error","conf.low","conf.high","group","stimtype"
"1","L",0.100400943243122,0.0895494458356329,0.0921973554143593,0.109292658085845,"NR","Familiar non-REW"
"2","L",0.518231020743091,0.0873976162084738,0.485387122121624,0.552486649109108,"R","Familiar REW"
