"";"x";"predicted";"conf.low";"conf.high";"group"
"70";0,72;0,246093929918243;0,282266745199937;0,208098052159433;"Compl non-REW"
"71";0,72;0,254710865918305;0,28501588774709;0,223121347927571;"Compl REW"
"72";0,72;0,21933450893033;0,250024110220864;0,187389065098446;"Control 2"
"73";0,76;0,231620552570452;0,261707921701845;0,200307042988879;"Control 1"
"74";0,76;0,253286439476473;0,290060428191515;0,214607603786119;"Compl non-REW"
"75";0,76;0,262109072798951;0,292790374504869;0,230096705677019;"Compl REW"
"76";0,76;0,225866584430907;0,257063907938394;0,193359224966855;"Control 2"
"77";0,8;0,248319003151209;0,279500369290001;0,215788187890115;"Control 1"
"78";0,8;0,271254328864665;0,309487548547181;0,23090416098778;"Compl non-REW"
"79";0,8;0,280578094964526;0,312149943100508;0,247557120547717;"Compl REW"
"80";0,8;0,242218768562226;0,27464496841221;0,208342991069677;"Control 2"
"81";0,84;0,256677001934069;0,288381911165891;0,22355953548206;"Control 1"
"82";0,84;0,280231514197978;0,319174563364761;0,239060932103074;"Compl non-REW"
"83";0,84;0,289798746405499;0,321788197508363;0,256300437777445;"Compl REW"
"84";0,84;0,250407301678893;0,283426601637636;0,215866490912942;"Control 2"
"85";0,88;0,261695423939179;0,293706852967397;0,228233136166636;"Control 1"
"86";0,88;0,285616461646924;0,32497950061061;0,243958012635902;"Compl non-REW"
"87";0,88;0,295327495058712;0,327559029599769;0,261551034100912;"Compl REW"
"88";0,88;0,255325221800464;0,288693519198182;0,220391574864573;"Control 2"
"89";0,92;0,275089241248406;0,307894908670469;0,240728590589708;"Control 1"
"90";0,92;0,299968996021552;0,340421244384706;0,257035793892525;"Compl non-REW"
"91";0,92;0,310054987410917;0,34290484328551;0,275562883804082;"Compl REW"
"92";0,92;0,268455459717615;0,302730857907162;0,232495198610535;"Control 2"
"93";0,96;0,291851769942408;0,325609022530191;0,25640476743159;"Control 1"
"94";0,96;0,317890793580048;0,359636234163587;0,273423959466008;"Compl non-REW"
"95";0,96;0,328427715682456;0,361996654118782;0,293092526904315;"Compl REW"
"96";0,96;0,284897812742769;0,320257229738949;0,247699040589007;"Control 2"
"97";1;0,305279025194165;0,339763756831516;0,268993125068405;"Control 1"
"98";1;0,332213522377658;0,374941896348972;0,286564277639982;"Compl non-REW"
"99";1;0,343096726196402;0,377197530358785;0,307128773297131;"Compl REW"
"100";1;0,298076538530455;0,334262440152274;0,25992376654536;"Control 2"
"101";1,04;0,31199916370379;0,346834924974343;0,275305479666543;"Control 1"
"102";1,04;0,339370591658378;0,382575606147491;0,29314225432101;"Compl non-REW"
"103";1,04;0,350422053399277;0,384773658909295;0,31415240127405;"Compl REW"
"104";1,04;0,304674991892247;0,341260369548796;0,266057719088666;"Control 2"
"105";1,08;0,322087794758589;0,357433668545288;0,284797637973252;"Control 1"
"106";1,08;0,350100904508978;0,393999795976142;0,303021960198185;"Compl non-REW"
"107";1,08;0,361398568885699;0,396108950466986;0,324693107909793;"Compl REW"
"108";1,08;0,314584375518162;0,351753752769089;0,275283767101418;"Control 2"
"109";1,12;0,325452880549487;0,360964238672262;0,287968148427886;"Control 1"
"110";1,12;0,353676183601858;0,397800700342708;0,306318562839264;"Compl non-REW"
"111";1,12;0,365054249520553;0,399879584470814;0,328207980232757;"Compl REW"
"112";1,12;0,317890598709668;0,35525074911723;0,278365605401451;"Control 2"
"113";1,16;0,333866884444556;0,369783300741329;0,29590357068994;"Control 1"
"114";1,16;0,362607261372255;0,407281049371336;0,314566367711933;"Compl non-REW"
"115";1,16;0,374182566460916;0,409284513946502;0,336994764200279;"Compl REW"
"116";1,16;0,32615947281333;0,363988579546821;0,286080341520165;"Control 2"
"117";1,2;0,34228550302809;0,378594362109667;0,303855109851198;"Control 1"
"118";1,2;0,371530989008778;0,416734531229074;0,322824135965766;"Compl non-REW"
"119";1,2;0,383298173737222;0,418661941849124;0,345783168358917;"Compl REW"
"120";1,2;0,334435842559601;0,372721413812775;0,293813534490508;"Control 2"
"121";1,24;0,349024146380413;0,3856377940391;0,310228464765424;"Control 1"
"122";1,24;0,378665022299605;0,424278474945849;0,329437692159177;"Compl non-REW"
"123";1,24;0,39058182019344;0,426144509277907;0,352815257702923;"Compl REW"
"124";1,24;0,341062783585359;0,379704377815765;0,300013993896425;"Control 2"
"125";1,28;0,354080156947239;0,39091633691619;0,315016197385851;"Control 1"
"126";1,28;0,384012437142417;0,429925470554704;0,334401629968568;"Compl non-REW"
"127";1,28;0,396039150718224;0,431744677415383;0,35809011729785;"Compl REW"
"128";1,28;0,346036258351113;0,384940009392735;0,304671768734033;"Control 2"
"129";1,32;0,360822068501021;0,397948148399593;0,321406574816957;"Control 1"
"130";1,32;0,391135848331959;0,43743681974005;0,341024140586054;"Compl non-REW"
"131";1,32;0,403305986104924;0,439192892197844;0,365122621905456;"Compl REW"
"132";1,32;0,352669829729995;0,391916285470452;0,310890360439951;"Control 2"
"133";1,36;0,370938517552659;0,408485278847427;0,331008452456121;"Control 1"
"134";1,36;0,401809431426436;0,448664346512769;0,350972580737243;"Compl non-REW"
"135";1,36;0,414187986684454;0,450330327810565;0,37566918404306;"Compl REW"
"136";1,36;0,362627435372456;0,402374572293403;0,320236778246093;"Control 2"
"137";1,4;0,377689901448887;0,415507111664782;0,337425884065524;"Control 1"
"138";1,4;0,408922285849121;0,456129338979716;0,357617740382583;"Compl non-REW"
"139";1,4;0,421435352617339;0,457738416152923;0,382701889323914;"Compl REW"
"140";1,4;0,369275331314382;0,409346161059148;0,326486037233019;"Control 2"
"141";1,44;0,382758285846642;0,42077298343616;0,342248681784364;"Control 1"
"142";1,44;0,414256535219864;0,461719455034839;0,362608569561354;"Compl non-REW"
"143";1,44;0,426868152176184;0,46328684763578;0,387978264473326;"Compl REW"
"144";1,44;0,374267366494885;0,414574990140689;0,331184486417242;"Control 2"
"145";1,48;0,392905795885526;0,431300996575316;0,351918377823925;"Control 1"
"146";1,48;0,424922019452386;0,472876760608446;0,37260462260693;"Compl non-REW"
"147";1,48;0,43772462718947;0,474360318757013;0,398535525092764;"Compl REW"
"148";1,48;0,384265514986629;0,425031097367055;0,340609632453959;"Control 2"
"149";1,52;0,396290923469155;0,434809034530988;0,355147779506202;"Control 1"
"150";1,52;0,428475652217055;0,476589169171065;0,375939394315906;"Compl non-REW"
"151";1,52;0,441340084160729;0,478043180272498;0,40205609014079;"Compl REW"
"152";1,52;0,387601865640959;0,42851465274539;0,343760121290828;"Control 2"
"153";1,56;0,406450260429101;0,445325568969293;0,364850309234504;"Control 1"
"154";1,56;0,439127674168918;0,487695989924943;0,385954902369242;"Compl non-REW"
"155";1,56;0,452171922129742;0,489063454400048;0,412616683054802;"Compl REW"
"156";1,56;0,397618008001037;0,438959957598174;0,353229650541148;"Control 2"
"157";1,6;0,416618565640094;0,455831901351082;0,374579474980588;"Control 1"
"158";1,6;0,449769297856902;0,498759951733786;0,395990351074081;"Compl non-REW"
"159";1,6;0,462984829898938;0,500045519825092;0,423176900389448;"Compl REW"
"160";1,6;0,407647854592389;0,449401246516319;0,362728190085887;"Control 2"
"161";1,64;0,425095019355379;0,464577043063101;0,38270159602263;"Control 1"
"162";1,64;0,458624955192804;0,507940195666752;0,404367240406616;"Compl non-REW"
"163";1,64;0,471976546317537;0,509162609633281;0,431973249979081;"Compl REW"
"164";1,64;0,416012667738258;0,458095725184216;0,370661535456385;"Control 2"
"165";1,68;0,438668838111707;0,478550882032567;0,395736491922611;"Control 1"
"166";1,68;0,472776434950834;0,522564101771636;0,417796842309923;"Compl non-REW"
"167";1,68;0,486332990095212;0,523690288244013;0,446045733370018;"Compl REW"
